token,sum_abs_weight
าทำได,0.124722744670381
น,0.10424317569896835
ค,0.10244029934151686
นอะไร,0.09787648294882123
Roblox,0.09444371140273655
งสารมากคร,0.06964112388181981
นในป,0.062056542836168266
เขาเล,0.05509896869859532
ง,0.054507794094354765
ถ,0.05397122830871162
าเป,0.051957943726376944
ท,0.04642501225505328
ตายผ,0.04396280464023279
ความล,0.043051096689721055
โปเกม,0.04200149701056875
เราให,0.03936174432593803
าส,0.03874652442489667
EP,0.03807662766005561
ผมเป,0.036867272889946914
า,0.036604490271150016
eFootball,0.03627539777866405
เกมพายเร,0.03516044215705817
Music,0.0347707151801914
นสกปรก,0.03461172277718667
roblox,0.03397198596492231
Ghost,0.03101321967346926
EP4,0.03069348998621223
องแตกคอก,0.029607632863456426
าช,0.028937170210409324
กว,0.028586399543569802
Minecraft,0.02835383523601604
งก,0.028207085159191184
ณจะต,0.02774152389054431
ร,0.02765805587947969
ยว,0.027478910048823066
RoV,0.026686693239878365
แข,0.026643219595817145
Fish,0.026449371811278606
AVATAR,0.026398587056669295
บส,0.025638988971569854
คข,0.024835639241792447
เลย,0.02476564557398115
อผ,0.024535968339164237
งล,0.024316992864899096
Secrets,0.02409020844969502
ดาน,0.024072432613086232
แฟนลากไปแข,0.023225556704059878
Lightblue,0.022837832713524176
เอกพ,0.02269123416818841
Tomyum,0.02260026800383826
ก,0.021312589224072608
Kasidet,0.0212341613283821
Avatar,0.02109515735743779
แล,0.02103952833209174
Clash,0.02101397638717963
คาลอส,0.020547215550152147
Dota2,0.020367172919695694
แมพกระโดดตกปลา,0.020220766437126857
Janitors,0.02013561244578328
บล,0.01954935456986237
Mobile,0.01948340594440031
โคตรฮา,0.01929369981914407
ศาจกวาง,0.019251874065945074
3,0.01898319146967203
าา,0.018830348880416098
vaha555,0.0186887478199129
วช,0.018655130979828294
ft,0.018524158494597803
FC,0.018467030066676385
อ,0.018230589726965552
ำตกลาวา,0.017872768880941834
Day,0.017842065140873737
DLC,0.017820711422012463
อน,0.017323653676550442
ต,0.01723224651675562
Tower,0.017216189733880727
คน,0.01702892789238386
ว,0.016768465712740883
าก,0.01673300525929986
99,0.016721732913792864
เม,0.01638548293962483
ยญทอง,0.015786008915242972
เล,0.015724895606742548
พ,0.015672773244471288
6,0.015610293664078668
WORLD,0.015571253729108593
กหายท,0.015477790044461481
งเหร,0.015390679123065939
ป,0.01524231079561067
บร,0.015075766434596755
SEAGames2025,0.014828396935775777
หล,0.014596858443318235
องไห,0.014275818374817093
ฬาซ,0.014179790171146744
หน,0.013971225910359203
ฝนข,0.0139652844997086
Play,0.01371332175507656
นโดนยำซะเอง,0.01361569329616974
in,0.013509345537649584
ช,0.01338033519418276
อท,0.01313755301228688
กบเล,0.013060935469192032
บเด,0.01303266627243342
พาไทยเข,0.013024952983823234
องน,0.012997282288270573
เทพซ,0.012971899182652883
ZEPETO,0.012765682394853393
Valor,0.012523004536092761
กระหาย,0.012497910316609365
กค,0.012483846780622209
ชอบคนแต,0.012372517966239813
