example,title_idx,token,weight
0,2257,านส,0.03895716540927031
0,2257,Pink,0.03601548592041809
0,2257,งสร,0.035327635880057696
0,2257,ชมพ,0.033639520962212434
0,2257,ฝนแข,0.03144662017376042
0,2257,เอกพ,0.030664639001577704
0,2257,House,-0.0301263213354217
0,2257,างบ,0.025460171772729974
0,2257,Lightblue,-0.023703595859348888
0,2257,vaha555,0.022588377634978188
1,1837,งความหล,0.055397284733065835
1,1837,เซ,0.0418156392916319
1,1837,ป,0.03792528573374465
1,1837,ง,0.036495895488313564
1,1837,16,0.0268077981648474
1,1837,LIVE,-0.017946235057791738
1,1837,ท,0.01702191541406338
1,1837,แห,0.008422148997267022
2,1509,ตายผ,-0.06832413843779621
2,1509,99,0.05982637693282924
2,1509,นในป,-0.04907483880418048
2,1509,า,-0.04227113449411042
2,1509,ค,0.03330241304030333
2,1509,3,-0.031896792335240357
2,1509,ง,-0.024688757054531323
2,1509,หน,-0.014605152633393242
2,1509,EP,-0.007098815910722274
2,1509,กวางคล,-0.006944788707064495
3,2993,คเก,-0.040164556902543266
3,2993,บพร,-0.035691292382802615
3,2993,ล,0.028864495569524595
3,2993,กหายท,0.02327795285089568
3,2993,าน,0.01603555550498571
3,2993,ยว,0.015315642742487232
3,2993,บเด,0.01048486568533251
3,2993,งบ,0.010318252130240464
3,2993,นคาด,0.008765309272302716
3,2993,พ,-0.007097827988295419
4,310,ฝนข,0.05541871658450674
4,310,waterfall,0.05153938516130002
4,310,เอกพ,0.041843637668115725
4,310,ำตกลาวา,-0.034657042467764444
4,310,พ,0.028119246888870367
4,310,vaha555,0.018843217755497337
4,310,station,0.012615354263822546
4,310,Minecraft,0.009704688240585386
4,310,train,0.004534966444141942
4,310,บรถไฟไปในน,-0.0022573835236497715
5,328,ft,0.060074779740710044
5,328,มะเด,0.04521644822210247
5,328,ยว,0.03125009925957818
5,328,Official,0.02833732666604274
5,328,Music,-0.02254915442647476
5,328,Video,-0.015860622323343617
5,328,กระหาย,-0.01092410925753077
5,328,ALIE,-0.009059405178098735
5,328,GREEDY,-0.008360826304668025
5,328,BLACKCOBRA,-0.007995712229682086
6,639,กว,-0.07612216010933331
6,639,าเป,0.06508048478260395
6,639,นอะไร,0.03702967397117819
6,639,น,-0.030434574921275177
7,2886,นในป,-0.06665173993712642
7,2886,า,-0.04852490727657002
7,2886,ศาจกวาง,-0.04754812174106357
7,2886,ค,0.043745807233237684
7,2886,บของป,-0.028310183289425913
7,2886,99,0.02140074920608396
7,2886,6,-0.019674871153736128
7,2886,ความล,0.015482776774839616
7,2886,EP,-0.008302649250275877
7,2886,AVATAR,0.0022696982323771485
8,2748,ในโรงแรมขนม,0.05486136680477658
8,2748,โซบ,0.0407481247289729
8,2748,ส,0.0400173201866063
8,2748,ดหรรษา,-0.036266456357038686
8,2748,ค,0.030639314518740475
8,2748,น,-0.027658727132454555
8,2748,1,-0.0169184922779586
8,2748,END,0.004553654409006864
8,2748,HI,-0.004318745836520809
9,2432,RoV,0.03837131976814131
9,2432,Women,0.03751643676335927
9,2432,การแข,0.025628230164702878
9,2432,2025,-0.01835138295434438
9,2432,มหญ,0.017933263844201602
9,2432,Games,0.013031565247520095
9,2432,Team,0.012491481962338541
9,2432,งข,0.011104856711991382
9,2432,Valor,0.010589611031857168
9,2432,ท,0.009812799887048883
10,448,งสารมากคร,0.12157622518799521
10,448,าส,0.032575958227185356
10,448,บ,-0.013461119208588102
10,448,น,-0.010413726915192666
11,702,Roblox,-0.06793956543487285
11,702,Tower,-0.0526502529823379
11,702,ดตกปลาแกล,0.051675483779547976
11,702,งก,0.041280812298105776
11,702,Fish,-0.038535627540355624
11,702,ใช,0.033511553424006434
11,702,น,0.026992542239189468
11,702,แมพกระโดดตกปลา,-0.0029703190357205874
11,702,เบ,0.0025461751930451635
12,3406,roblox,0.06770625103567908
12,3406,เกม,-0.06327793640392754
12,3406,โรบล,0.05173613640330542
12,3406,ยนหลาม,0.04149780674925942
12,3406,อกซ,0.021130465653560252
12,3406,ค,0.014391606226356445
12,3406,น,-0.009810096027244997
12,3406,บของกวาง,0.00958324230894511
12,3406,กบเล,-0.009312406640168048
12,3406,เจอพล,0.002420143207478863
13,1794,ณพ,0.07565727426955043
13,1794,ด,0.04448407314137157
13,1794,ค,0.042361081064802436
13,1794,ส,0.030654408595172093
13,1794,ท,0.009840753893518715
13,1794,อท,-0.008351900215396153
14,2938,Desailly,0.041738285551071466
14,2938,อมร,0.04092808985072426
14,2938,เหมาแพ,0.040499989258802806
14,2938,Vieira,-0.027434374656665282
14,2938,และ,0.02551723980380706
14,2938,คใหม,0.023157564288856968
14,2938,ว,0.01997949825521544
14,2938,พร,0.01414586409093212
14,2938,Cafu,-0.01000177588089731
14,2938,ตำนาน,-0.0071401760557191956
15,2739,Roblox,-0.0709332637131621
15,2739,ชอบคนแต,0.05598245279582194
15,2739,Avatar,-0.055240925822899356
15,2739,เม,0.04428762563815177
15,2739,งต,0.03387337459067251
15,2739,อผ,0.02786922510791544
15,2739,นโรบล,0.02021371831234821
15,2739,ZEPETO,-0.018594392561713007
15,2739,อกเร,0.01465700284838605
15,2739,Zepeto,-0.0041976452246701
16,1298,ผมเป,0.0911005740753535
16,1298,Mobile,-0.07693602637839614
16,1298,คาลอส,0.050422579200209344
16,1298,ดาน,0.04863609360043567
16,1298,คจนกว,0.03964512553157894
16,1298,FC,-0.024866918411772198
16,1298,ซ,0.02332663199261416
16,1298,าจะได,0.02317451159051876
16,1298,ดแพ,-0.004037183507823945
17,2569,Ghost,-0.036727133064435445
17,2569,คน,0.034577432602830006
17,2569,ญตน,-0.032375330209740864
17,2569,4,-0.03152663702943027
17,2569,Janitors,0.011892468788936104
17,2569,บำเพ,0.008567652081594131
18,1411,Dota2,0.049424971565248194
18,1411,Stage,0.024181312403411148
18,1411,แข,-0.023843158721424944
18,1411,Stream,0.021434119862624057
18,1411,Play,-0.015159272383862733
18,1411,B,-0.008516337920692016
18,1411,ด,0.00760047473591542
18,1411,Day,0.007506341148053981
