feature,mean_abs_shap
emb_763,0.0
emb_764,0.0
emb_765,0.0
emb_766,0.0
emb_767,0.0
sent_p_pos,0.0
sent_p_neu,0.0
sent_p_neg,0.0
sent_arousal,0.0
emb_696,0.0
emb_695,0.0
emb_694,0.0
emb_629,0.0
emb_620,0.0
emb_621,0.0
emb_622,0.0
emb_623,0.0
emb_624,0.0
emb_625,0.0
emb_626,0.0
emb_627,0.0
emb_628,0.0
emb_630,0.0
emb_618,0.0
emb_631,0.0
emb_632,0.0
emb_633,0.0
emb_634,0.0
emb_635,0.0
emb_636,0.0
emb_637,0.0
emb_638,0.0
emb_639,0.0
emb_619,0.0
emb_617,0.0
emb_641,0.0
emb_605,0.0
emb_596,0.0
emb_597,0.0
emb_598,0.0
emb_599,0.0
emb_600,0.0
emb_601,0.0
emb_602,0.0
emb_603,0.0
emb_604,0.0
emb_606,0.0
emb_616,0.0
emb_417,0.0
emb_608,0.0
emb_609,0.0
emb_610,0.0
emb_611,0.0
emb_612,0.0
emb_613,0.0
emb_614,0.0
emb_615,0.0
emb_640,0.0
emb_642,0.0
emb_693,0.0
emb_680,0.0
emb_670,0.0
emb_671,0.0
emb_672,0.0
emb_673,0.0
emb_674,0.0
emb_675,0.0
emb_677,0.0
emb_678,0.0
emb_679,0.0
emb_681,0.0
emb_668,0.0
emb_682,0.0
emb_684,0.0
emb_686,0.0
emb_687,0.0
emb_688,0.0
emb_689,0.0
emb_690,0.0
emb_691,0.0
emb_692,0.0
emb_669,0.0
emb_667,0.0
emb_643,0.0
emb_654,0.0
emb_644,0.0
emb_645,0.0
emb_646,0.0
emb_647,0.0
emb_648,0.0
emb_649,0.0
emb_650,0.0
emb_651,0.0
emb_653,0.0
emb_655,0.0
emb_666,0.0
emb_656,0.0
emb_657,0.0
emb_658,0.0
emb_659,0.0
emb_660,0.0
emb_662,0.0
emb_663,0.0
emb_664,0.0
emb_665,0.0
emb_418,0.0
emb_400,0.0
emb_416,0.0
emb_138,0.0
emb_129,0.0
emb_130,0.0
emb_131,0.0
emb_132,0.0
emb_133,0.0
emb_134,0.0
emb_135,0.0
emb_136,0.0
emb_137,0.0
emb_139,0.0
emb_127,0.0
emb_140,0.0
emb_141,0.0
emb_142,0.0
emb_144,0.0
emb_145,0.0
emb_146,0.0
emb_147,0.0
emb_148,0.0
emb_149,0.0
