bucket,n,pos_rate,roc_auc,ci_lo,ci_hi,f1_pos
mid 100k-1M,1388,0.1282420749279539,0.627342371622249,0.5818910341788252,0.6685781192394009,0.25745682888540034
large 1M+,2105,0.060807600950118765,0.7459099962063732,0.702793477207422,0.7861848169985365,0.20270270270270271
