mean_conf,mean_acc,n
0.03333333333333333,,0
0.11332581615699917,0.0,24
0.17499099937454907,0.005,200
0.23581115021853144,0.030973451327433628,452
0.30084085186610054,0.0444015444015444,518
0.36642853873146525,0.07024793388429752,484
0.432497569155298,0.08714596949891068,459
0.4987598469596411,0.11594202898550725,414
0.5656089129555779,0.1235632183908046,348
0.6292490168530526,0.13114754098360656,244
0.6946056449401075,0.174496644295302,149
0.7631027351812308,0.20535714285714285,112
0.8259524109509156,0.14285714285714285,70
0.8963121657821653,0.3793103448275862,29
0.9541691484148183,0.42857142857142855,7
